CRT 1kb;4.364;4.504;3.652;6.709;4.132;
CRT 16kb;4.492;6.04;4.981;4.213;5.325;
CRT 128kb;3.647;4.29;3.587;3.767;3.767;
CRT 1024kb;2.647;2.685;2.415;2.489;2.845;
CRT 2048kb;2.425;2.757;2.521;2.671;2.44;
STD 1kb;4.813;4.398;3.983;4.007;3.777;
STD 16kb;4.769;4.879;4.686;4.456;4.036;
STD 128kb;4.039;4.801;4.729;4.161;4.556;
STD 1024kb;5.014;4.898;6.3;5.426;5.068;
STD 2048kb;5.234;5.14;5.479;5.278;6.063;
WIN 1kb;4.612;4.056;4.234;4.352;4.981;
WIN 16kb;5.9;4.163;4.445;4.988;4.871;
WIN 128kb;3.769;3.561;3.83;4.151;3.867;
WIN 1024kb;2.43;2.82;2.758;3.359;3.003;
WIN 2048kb;2.432;2.618;2.884;2.437;2.532;
WINMAP 1kb;3.029;3.422;3.413;2.984;3.226;
WINMAP 16kb;3.411;3.032;3.16;3.398;3.038;
WINMAP 128kb;3.111;3.365;3.027;3.052;3.256;
WINMAP 1024kb;2.991;3.168;3.254;4.727;2.99;
WINMAP 2048kb;3.023;3.214;3.033;3.167;3.382;
