CRT 1kb S;4.004;4.537;4.968;4.37;4.145;
CRT 16kb S;4.407;4.284;4.004;5.204;4.215;
CRT 128kb S;3.85;3.369;3.45;3.25;4.754;
CRT 1024kb S;2.539;2.748;5.004;2.571;3.089;
CRT 2048kb S;2.354;4.607;4.775;6.694;2.358;
STD 1kb S;5.776;6.441;3.854;4.198;3.815;
STD 16kb S;3.741;5.057;3.862;4.99;4.171;
STD 128kb S;4.026;3.829;4.801;4.143;3.808;
STD 1024kb S;5.416;5.011;5.249;5.069;6.288;
STD 2048kb S;5.408;5.639;5.24;5.475;5.397;
WIN 1kb S;4.165;4.012;4.811;3.884;4.009;
WIN 16kb S;4.011;4.825;3.774;7.624;5.038;
WIN 128kb S;3.615;3.514;4.053;3.598;4.26;
WIN 1024kb S;2.402;2.441;2.744;2.768;2.963;
WIN 2048kb S;2.393;2.654;2.404;2.794;2.697;
WINMAP 1kb S;3.034;3.239;3.393;2.985;3.215;
WINMAP 16kb S;3.411;3.004;3.164;3.409;3.034;
WINMAP 128kb S;3.177;3.352;3.035;3.028;3.204;
WINMAP 1024kb S;2.997;3.358;3.412;3.238;3.039;
WINMAP 2048kb S;3.229;3.417;2.99;3.253;3.416;
