CRT 1kb;3.687;4.25;3.828;3.718;4.159;
CRT 16kb;4.078;3.75;3.768;4.359;4.078;
CRT 128kb;3.875;4;4.156;4;3.906;
CRT 1024kb;3.421;2.984;3.562;3.218;3.703;
CRT 2048kb;3.453;2.937;3.015;3.078;2.89;
STD 1kb;4.14;3.968;4.025;4.093;4.531;
STD 16kb;4.361;4.078;3.859;4.156;4.203;
STD 128kb;3.984;3.658;4.015;4.156;4.062;
STD 1024kb;5.218;5.906;3.687;3.171;4.512;
STD 2048kb;7.875;7.359;10.593;7.25;8.835;
WIN 1kb;4.453;4.125;4.031;3.937;3.578;
WIN 16kb;4.218;4.109;4.046;3.687;4.156;
WIN 128kb;3.75;5.25;4.234;4.062;4.078;
WIN 1024kb;3.515;3.306;3.64;3.328;3.296;
WIN 2048kb;3.328;2.812;3.156;2.781;3.14;
WINMAP 1kb;2.734;2.64;2.765;2.64;2.703;
WINMAP 16kb;2.593;2.687;2.609;2.953;2.718;
WINMAP 128kb;2.656;2.703;2.609;2.734;2.718;
WINMAP 1024kb;2.765;2.652;2.671;2.609;2.671;
WINMAP 2048kb;2.718;2.609;2.703;2.609;2.703;
