CRT 1kb S;10.718;9.64;10.711;9.312;10.314;
CRT 16kb S;10.578;10.125;11.312;10.953;9.856;
CRT 128kb S;10.578;10.75;10.687;10.648;9.875;
CRT 1024kb S;9.359;9.283;9.422;9.515;9.14;
CRT 2048kb S;9.059;9.203;9.25;9.015;9.366;
STD 1kb S;10.656;10.859;10.83;10.797;10.593;
STD 16kb S;9.468;10.699;10.343;11.015;9.992;
STD 128kb S;9.875;10.125;10.532;10.422;11.093;
STD 1024kb S;11.328;11.011;10.922;10.093;10.678;
STD 2048kb S;16.096;12.515;15.592;15.468;18.106;
WIN 1kb S;10.093;10.488;10.581;9.579;10.39;
WIN 16kb S;10.859;19.125;14.984;10.262;11.109;
WIN 128kb S;11.218;11.319;11.062;10.906;10.751;
WIN 1024kb S;9.703;9.672;9.687;9.965;9.5;
WIN 2048kb S;9.453;9.225;9.671;9.5;9.609;
WINMAP 1kb S;5.533;5.64;5.921;5.875;6.187;
WINMAP 16kb S;6.093;5.698;5.687;5.546;5.671;
WINMAP 128kb S;5.406;5.875;5.75;5.928;5.625;
WINMAP 1024kb S;6.171;5.562;5.734;5.64;5.751;
WINMAP 2048kb S;5.687;5.89;5.562;5.593;5.531;
